Date,Open,High,Low,Close,Adj Close,Volume
1993-02-02,14.456000,14.738344,14.343063,14.738344,7.457548,255008
1993-02-03,14.794813,14.964219,14.681875,14.738344,7.457548,117986
1993-02-04,14.851281,14.964219,14.681875,14.738344,7.457548,187493
1993-02-05,14.738344,14.738344,14.004250,14.004250,7.086101,168456
1993-02-08,14.230125,14.456000,14.117188,14.456000,7.314682,144328
1993-02-09,14.456000,14.681875,14.456000,14.625406,7.400404,105147
1993-02-10,14.568938,14.568938,14.173656,14.230125,7.200388,190149
1993-02-11,14.456000,14.512469,14.230125,14.230125,7.200388,146984
1993-02-12,14.343063,14.343063,13.778375,13.778375,6.971809,170006
1993-02-16,14.004250,14.230125,14.004250,14.230125,7.200388,208080
1993-02-17,14.230125,14.568938,14.117188,14.117188,7.143244,258329
1993-02-18,14.343063,14.399531,13.891313,14.117188,7.143244,270725
1993-02-19,14.117188,14.117188,14.060719,14.060719,7.114674,102712
1993-02-22,14.173656,14.286594,14.060719,14.286594,7.228962,288655
1993-02-23,14.173656,14.625406,14.117188,14.568938,7.466266,142335
1993-02-24,14.568938,14.794813,14.568938,14.794813,7.582019,96735
1993-02-25,14.851281,15.528906,14.794813,15.133625,7.755656,239956
1993-02-26,15.133625,15.246563,15.077156,15.190094,7.784591,395573
1993-03-01,15.133625,15.133625,14.851281,14.964219,7.668839,323630
1993-03-02,14.851281,15.190094,14.851281,15.190094,7.784591,526619
1993-03-03,15.077156,15.246563,15.077156,15.246563,7.813535,217377
1993-03-04,15.133625,15.190094,15.020688,15.190094,7.784591,399557
1993-03-05,15.133625,15.415969,15.133625,15.359500,7.871411,472385
1993-03-08,15.415969,15.585375,15.359500,15.585375,7.987167,91644
1993-03-09,15.585375,16.037125,15.585375,15.867719,8.131867,394023
1993-03-10,15.811250,15.980656,15.811250,15.867719,8.131867,248810
1993-03-11,15.867719,15.924188,15.811250,15.867719,8.131867,257443
1993-03-12,15.811250,16.206532,15.811250,16.150063,8.276554,359712
1993-03-15,16.093594,16.150063,16.037125,16.093594,8.247619,120642
1993-03-16,16.093594,16.150063,16.037125,16.093594,8.247619,100719
1993-03-17,16.037125,16.093594,15.867719,15.867719,8.131867,65523
1993-03-18,15.867719,15.924188,15.698313,15.698313,8.045041,463531
1993-03-19,15.811250,16.037125,15.754781,15.980656,8.189741,224239
1993-03-22,16.037125,16.093594,15.980656,16.093594,8.247619,185058
1993-03-23,16.093594,16.206532,16.093594,16.150063,8.276554,120421
1993-03-24,15.924188,16.037125,15.754781,15.811250,8.102921,334477
1993-03-25,15.811250,15.867719,15.698313,15.811250,8.102921,247703
1993-03-26,15.867719,16.093594,15.867719,16.037125,8.218678,194355
1993-03-29,16.093594,16.375938,16.093594,16.319469,8.363375,98949
1993-03-30,16.263000,16.714750,16.263000,16.601812,8.508064,159823
1993-03-31,16.601812,16.884155,16.601812,16.658281,8.537004,226010
1993-04-01,16.658281,16.658281,16.488874,16.545343,8.479128,129275
1993-04-02,16.375938,16.375938,16.093594,16.150063,8.276554,267183
1993-04-05,16.037125,16.206532,15.980656,16.093594,8.247619,52905
1993-04-06,16.206532,16.545343,16.150063,16.545343,8.479128,172662
1993-04-07,16.658281,16.658281,16.545343,16.601812,8.508064,78583
1993-04-08,16.545343,16.658281,16.375938,16.375938,8.392314,141229
1993-04-12,16.432405,16.940624,16.432405,16.884155,8.652764,173769
1993-04-13,16.827688,17.731188,16.827688,17.618250,9.028969,382070
1993-04-14,17.561781,17.561781,17.392376,17.448845,8.942156,127283
1993-04-15,17.448845,17.731188,17.279438,17.279438,8.855341,154953
1993-04-16,17.053562,17.448845,17.053562,17.335905,8.884273,96292
1993-04-19,17.392376,17.392376,17.222969,17.392376,8.913215,75042
1993-04-20,17.618250,17.787657,17.166500,17.448845,8.942156,215163
1993-04-21,17.335905,17.618250,17.053562,17.279438,8.855341,117986
1993-04-22,17.279438,17.279438,17.053562,17.053562,8.739582,247703
1993-04-23,16.940624,17.618250,16.940624,17.618250,9.028969,169341
1993-04-26,17.279438,17.392376,17.053562,17.110031,8.768518,199004
1993-04-27,17.053562,17.110031,16.827688,17.053562,8.739582,92308
1993-04-28,17.053562,17.053562,16.940624,17.053562,8.739582,234422
1993-04-29,17.110031,17.561781,17.053562,17.448845,8.942156,86552
1993-04-30,17.448845,17.674719,17.448845,17.618250,9.028969,126176
1993-05-03,17.674719,17.674719,17.448845,17.448845,8.942156,95407
1993-05-04,17.505314,17.787657,17.448845,17.731188,9.086844,206752
1993-05-05,17.618250,17.731188,17.618250,17.674719,9.057905,127061
1993-05-06,17.618250,17.674719,17.448845,17.448845,8.942156,93857
1993-05-07,17.448845,17.448845,17.335905,17.335905,8.884273,40730
1993-05-10,17.335905,17.505314,17.335905,17.392376,8.913215,129275
1993-05-11,17.335905,17.505314,17.335905,17.448845,8.942156,82568
1993-05-12,17.392376,17.505314,17.279438,17.505314,8.971093,259657
1993-05-13,17.448845,17.448845,17.166500,17.222969,8.826401,69950
1993-05-14,17.166500,17.166500,16.771219,16.827688,8.623827,92308
1993-05-17,16.940624,17.110031,16.827688,17.110031,8.768518,147205
